text,origins
Zijn de gebruikers van de verschillende organisaties voorbereid op de transitie naar het nieuwe huisvestingsconcept Effecten Voor de eventuele effecten zijn de volgende vragen onderzocht 5,1
Zijn er sinds de verhuizing naar R8 aantoonbare effecten op het ziekteverzuim bij 1 In dit onderzoek worden de drie onderdelen van de Kleine Keten doorgaans als één organisatie beschouwd,1
Daar waar specifiek wordt gedoeld op één van de drie onderdelen wordt de betreffende organisatie als zodanig aangeduid 2 Center for People and Buildings Rijnstraat 8 Gebruik en beleving geëvalueerd Maart 2018 5 van 51 1 Over het onderzoek en de werkwijze van de gebruikers van de verschillende organisaties 2,1
Faciliteert de dienstverlening op adequate wijze de activiteiten van de de organisaties 6,1
Zijn er sinds de verhuizing naar R8 aantoonbare effecten op het personeelsverloop bij de organisaties 7,1
Zijn er sinds de verhuizing naar R8 aantoonbare effecten op het aantal werk gerelateerde klachten en meldingen bij de organisaties Voor de laatste vraag met betrekking tot de werkgerelateerde klachten en meldingen zijn de volgende drie aspecten onderzocht integriteitmeldingen sociaalmedische klachten beveiligingsincidenten 13 Onderzoeksaanpak Dit onderzoek is uitgevoerd in de periode van augustus 2018 tot en met februari 2019,1
Voor de verklarende factoren van de beleving is in dit onderzoek naast de documentanalyse gebruik gemaakt van bevindingen uit groepsinterviews met diverse functionarissen vanuit de bewonersorganisaties en met gebruikers zelf,1
Daarnaast zijn interviews gehouden met vertegenwoordigers vanuit de project organisatie R8 POR het Rijksvastgoedbedrijf RVB FM Haaglanden FMH en SSC ICT,1
Aanvullend op de interviews is daarnaast gebruik gemaakt van waarnemingen van een groep van collega auditors die gedurende één maand op R8 hebben gewerkt en hun ervaringen hebben opgetekend in een logboek,1
Voor de mogelijke effecten is voor zover beschikbaar een analyse uitgevoerd op de data op personeelsgebied,1
Schematisch kan de hierboven geschetste aanpak als volgt worden weergegeven 14 Leeswijzer Dit rapport bestaat uit drie delen,1
Het eerste deel Verklarende factoren bevat de bevindingen en antwoorden op de eerste vier onderzoeksvragen,1
Daarbij is daar waar mogelijk aansluiting gezocht bij de uitgangspunten en doelstellingen van de kaders met betrekking tot de Fysieke Werkomgeving Rijk FWR3,1
Deze uitgangspunten en doelstellingen zijn in de kaders aan het begin van elke sub paragraaf weergegeven,1
Het tweede deel Effecten bevat de bevindingen en antwoorden op de laatste drie onderzoeksvragen,1
Dit deel bevat de uitkomsten van de analyse op de personeels cijfers voorzien van toelichtende teksten en aangevuld met bevindingen uit de interviews,1
Het derde deel Verantwoording en ondertekening beschrijft de verrichte werkzaamheden en de afbakening van dit onderzoek en bevat de ondertekening 6 van 51 3 Factsheet FWR Ministerie van Binnenlandse Zaken Januari 2015 en Nota Kwaliteitskader FWR Nota van DGOBRR van 24 oktober 2014 kenmerk 20140000568213 21 Beantwoording centrale onderzoeksvraag Centraal in dit onderzoek stond de vraag wat de mogelijke verklarende factoren zijn geweest voor de wijze waarop R8 door de gebruikers wordt ervaren en wat daarvan de eventuele meetbare personele effecten zijn 211 Verklarende factoren Een verklaring voor de huidige beleving van de kantooromgeving is dat sprake lijkt te zijn van een mismatch tussen de inrichting van de nieuwe kantooromgeving bricks en de bijbehorende gedragsaspecten behaviour,1
Daarnaast geven gebruikers aan dat de dienstverlening nog niet geheel op het gewenste niveau is,1
Hierdoor is nog geen sprake van een goede balans tussen BricksBytesBehaviour een model waar het FWRkantoorconcept mede op gebaseerd is,1
In een kantooromgeving van de omvang en capaciteit als R8 waarin meerdere verschillende organisaties gehuisvest zijn met toepassing van een krappere flexnorm dan men gewend was luistert deze balans juist zeer nauw en leidt een verstoring van deze balans tot klachten en een negatieve beleving van de kantooromgeving door de gebruikers,1
De verklaring van de beleving van de gebruikers van R8 is derhalve niet gelegen binnen één maar in een combinatie van factoren in alle drie componenten van het model,1
De hierboven geconstateerde mismatch wordt veroorzaakt doordat de kantooromgeving enerzijds volgens gebruikers niet geheel voldoet aan de eisen die het werk van gebruikers daaraan stellen,1
De belangrijkste factoren in dit verband zijn te weinig mogelijkheden om geconcentreerd te kunnen werken en om collegiaal of in teamverband samen te werken een gebrek aan privacy en vertrouwelijkheid van informatie en voor BZ de representativiteit van de kantooromgeving die niet geheel voldoet aan hetgeen in het internationale en diplomatieke verkeer gewoon is,1
Daarnaast zijn de dienstverlening en de daarvoor gehanteerde prijzen en de kille en zakelijke uitstraling van de kantooromgeving alsmede het gemis aan het kunnen uitdrukken van een eigen identiteit van de organisatie eveneens verklarende factoren voor de huidige beleving van gebruikers,1
De mismatch wordt echter ook veroorzaakt doordat gebruikers de kantooromgeving niet gebruiken zoals het bedoeld is en er slechts in beperkte mate vanuit de organisaties gestuurd wordt op de gedragsaspecten behaviour die samengaan met het gebruik en de werkwijze behorend bij het nieuwe FWR kantoorconcept,1
Veel gebruikers blijken niet activiteit gerelateerd te werken en bezetten werkplekken langer dan noodzakelijk is voor de werkzaamheden die ze uitvoeren,1
Dit is te verklaren uit het feit dat de voorbereiding op de huisvesting op R8 decentraal is opgepakt en te weinig gericht is geweest op de nieuwe werkwijze activiteit gerelateerd werken in een kantooromgeving met een aanmerkelijk lagere flexnorm dan die gehanteerd werd in de voormalige kantooromgeving,1
Het ontbreken van een meer centrale aanpak gecombineerd met een grotere en vroegtijdiger betrokkenheid van de toekomstige gebruikers inclusief de medezeggenschap bij de transitie naar de nieuwe werkwijze heeft eveneens bijgedragen aan de negatieve beleving van de nieuwe kantooromgeving 7 van 51 2 Managementsamenvatting en aanbevelingen In het FWRkantoorconcept zijn beide aspecten bricks en behaviour onlosmakelijk met elkaar verbonden,1
Zonder een nieuwe manier van activiteit gerelateerd werken werkt het nieuwe concept niet en ontstaat er zeker in een kantoorpand van een dergelijke omvang waarin vijf verschillende organisaties zijn gehuisvest een te grote druk op de ruimte hetgeen uitmondt in een negatieve beleving door gebruikers,1
Omgekeerd moet de nieuwe kantooromgeving het adequaat kunnen werken maximaal faciliteren,1
Het nieuwe kantoorconcept gecombineerd met een lagere flexnorm stelt juist extra eisen aan de inrichting van werkruimtes en plekken terwijl voor werkprocessen die afwijken van de algemene FWR normen ruimte moet blijven voor maatwerk 212 Effecten De beleving van gebruikers heeft op dit moment geen statistisch zichtbaar effect op het ziekteverzuim en het personeelsverloop,1
Voor de werkgerelateerde incidenten en meldingen integriteitmeldingen beveiligingsincidenten en sociaalmedische klachten geldt dat de beperkte beschikbaarheid en vergelijkbaarheid van data een goede analyse lastig maken,1
Uit aanvullende interviews met bedrijfsartsen en bedrijfsmaatschappelijk werk blijkt dat ook hier geen duidelijke effecten zichtbaar zijn,1
Wel is door hen aangegeven dat de klachten steeds vaker betrekking hebben op ergonomie en stress en overbelasting,1
Bij BZ is daarnaast ook sprake van een toename van het aantal klachten,1
Nader onderzoek en monitoring zal uitsluitsel moeten geven in hoeverre hier een relatie is met de huisvesting op R8 maar hoe dan ook zal deze ontwikkeling volgens bedrijfsartsen en maatschappelijk werkers op termijn leiden tot een toename van het ziekteverzuim,1
Tenslotte wordt door de geïnterviewden aangegeven dat er sprake is van een toename van zieke medewerkers die door de invoering van flexibel werken zich niet ziekmelden,1
Daar waar zij zich in de situatie voor de overgang naar R8 ziek zouden melden doen zij dit nu niet omdat zij door het flexibel werken de mogelijkheid hebben om thuis te kunnen werken,1
Dit effect komt niet tot uiting in de ziekteverzuimcijfers en kan statistisch ook niet worden aangetoond vanwege het ontbreken van data hieromtrent,1
Hoewel het niet objectief is aan te tonen is deze toename volgens geïnterviewden wel degelijk mede het gevolg van de huisvesting op R8 22 Aanbevelingen Uitgaande van de brede leerdoelstelling4 van het onderzoek komen wij op basis van onze bevindingen tot de volgende aanbevelingen 1,1
De Basis Werkplekmix is volgens gebruikers niet toepasbaar op alle werkprocessen binnen hun organisatie,1
Zorg voor toekomstige projecten daarom voor een vroegtijdige betrokkenheid van toekomstige gebruikers en de medezeggenschap bijvoorbeeld door middel van het inrichten van bewonerspanels zodat ze constructief kunnen meedenken over de werkplekmix,1
Voer daarbij tevens standaard een activiteitenonderzoek uit op basis waarvan de juiste werkplekmix kan worden bepaald en beter is afgestemd op de specifieke werkzaamheden van de gebruikers 2,1
De kantooromgeving blijkt op een aantal belangrijke punten onvoldoende afgestemd te zijn op het werk van gebruikers,1
Betrek toekomstige gebruikers en de medezeggenschap daarom meer door hen reeds in het proces van de vraagspecificatie te laten deelnemen bijvoorbeeld door middel van het inrichten van bewonerspanels zodat ze constructief kunnen meedenken over de te maken keuzes die hun werkomstandigheden rechtstreeks raken 4 De brede doelstelling betekent dat de aanbevelingen gericht zijn op het leereffect voor toekomstige projecten,1
De vraag of en zo ja welke gevolgen deze aanbevelingen hebben voor de situatie op R8 is ter beoordeling gelaten aan opdrachtgever van dit onderzoek en alle overige bij R8 betrokken organisaties 8 van 51 3,1
Er blijkt een discrepantie te bestaan tussen de beleving van de dienstverlening door gebruikers en de performance op de dienstverlening zoals overeengekomen in het contract,1
De exacte oorzaak hiervoor is op basis van ons onderzoek niet te achterhalen,1
Daarom bevelen wij aan om een externe SCBtoets5 te laten uitvoeren waarbij met name wordt ingezoomd op die onderdelen van de dienstverlening die door gebruikers negatief worden beleefd 4,1
De sturing vanuit de organisaties op het flexibel en activiteit gerelateerd werken blijkt binnen alle organisaties beperkt te zijn,1
Geef in de voorbereiding en kaderstelling daarom extra aandacht aan de managementsturing en het maken van heldere afspraken hieromtrent 5,1
De effectiviteit van de voorbereiding van gebruikers op de nieuwe kantooromgeving blijkt achteraf gezien onvoldoende te zijn geweest waar het gaat om het bereiken van de benodigde gedragsverandering,1
Neem behaviour daarom voortaan mee als centraal onderdeel van nieuwe huisvestingsprojecten en ontwikkel hiervoor rijksbrede kaders en instrumenten,1
Zorg daarbij wel dat in concrete projecten de gedragsaspecten in nauwe samenwerking met de betrokken organisaties nader worden ingevuld volgens een tailor made approach en houdt hierbij ook rekening met bestaande organisatie en cultuurkenmerken 6,1
Gebruikers zijn onvoldoende voorbereid op de aanzienlijke lagere flexnorm in de nieuwe FWRkantooromgeving,1
Zorg daarom voor een meer realistische voorbereiding van medewerkers op de transitie naar een nieuwe FWRkantoor omgeving door hen bijvoorbeeld gedurende een langere periode op de oude locatie te laten werken in een aangepaste kantooromgeving waarin dezelfde ruimtelijke normen zijn toegepast learning on the job 7,1
Er zijn onvoldoende kwantitatieve gegevens beschikbaar om de personele effecten van de nieuwe huisvesting te kunnen meten en monitoren,1
Zorg er daarom voor dat de systemen data en informatie bevatten die niet alleen naar organisatie niveau maar ook naar pandniveau zijn te herleiden zodat eventuele personele effecten van de FWRkantooromgeving in de toekomst beter kunnen worden gemonitord 8,1
Uit het onderzoek blijkt dat de beleving van gebruikers van de huisvesting nog vrij negatief is,1
Gedurende de looptijd van dit onderzoek zijn een groot aantal verbetermaatregelen op R8 doorgevoerd die waarschijnlijk een effect op de beleving van gebruikers hebben,1
Om vast te kunnen stellen of de beleving onder gebruikers inderdaad is verbeterd bevelen wij daarom aan om een hernieuwd belevingsonderzoek uit te laten voeren 9 van 51 5 Een door de ADR of andere externe partij uitgevoerde toets op de Systeemgerichte Contract Beheersing 10 van 51 Deel 1 Verklarende factoren 31 Beantwoording onderzoeksvraag Onderzoeksvraag Is de kantooromgeving op R8 afgestemd op de werkprocessen werkzaamheden en de werkwijze van de gebruikers van de verschillende organisatieonderdelen Beantwoording onderzoeksvraag De kantooromgeving is volgens de gebruikers op een aantal belangrijke punten onvoldoende afgestemd op het werk van gebruikers,1
Gehanteerde onderzoekscriteria geschiktheid werkplekmix 32 geschiktheid werkomgeving 33 mogelijkheden tot samenwerking 34 inspirerende en representatieve uitstraling 35 bereikbaarheid van het kantoorpand 36 Voor de inrichting van de FWRkantooromgeving6 wordt volgens de kaders uitgegaan van de zogenaamde Basis Werkplekmix BWM,1
Hierin is de verhouding tussen de diverse soorten werkplekken in een rijkskantoor bepaald zie afbeelding 1,1
De werkplekmix is op haar beurt weer gebaseerd op een basisactiviteitenprofiel dat de verhouding tussen verschillende soorten werkzaamheden van rijksambtenaren aangeeft,1
Dit profiel gaat uit van de onderstaande verdeling van werkzaamheden,1
De gedachte daarbij is dat gebruikers regelmatig wisselen van type werkzaamheden en daarmee ook van type werkplek activiteit gerelateerd werken,1
Afbeelding 1 de FWRBasis Werkplekmix7 6 Zie bijlage 1 voor achtergronden van de FWR FWRmix basisactiviteitenprofiel en flexfactor 7 FWRwijzer httpswwwcfpbnlkennispublicatiesfwrwijzerpraktischegidsvoordefysieke werkomgevingrijk FWRuitgangspunt De Fysieke Werkomgeving Rijk is een activiteit gerelateerde werkomgeving,1
FWRdoelstelling Medewerkers kunnen efficiënt hun werk doen samenwerken spontaan ontmoeten 11 van 51 3 De kantooromgeving van R8 32 De Basis Werkplekmix is volgens gebruikers niet toepasbaar op alle werkprocessen binnen hun organisatie innoveren en concentreren worden goed gefaciliteerd,1
Ze kunnen elkaar snel vinden en verliezen geennauwelijks tijd bij het wisselen van plekken,1
Gebruikers geven aan dat niet alle werkprocessen binnen hun organisatieonderdeel voldoen aan dit gebruikersprofiel en daardoor niet goed passen in het nieuwe kantoorconcept van activiteit gerelateerd werken,1
Zij geven aan overwegend bureaugebonden werkzaamheden uit te voeren waarbij tevens sprake is van een hoge mate van afhankelijkheid en nabijheid van directe collegas,1
Dit geldt bijvoorbeeld voor managementondersteuners en medewerkers in bedrijfsvoerings functies,1
Op R8 zijn relatief veel stafdiensten gehuisvest waar veel van dit soort werkzaamheden worden uitgevoerd,1
Gebruikers ervaren de FWRkaders ondanks de mogelijkheden om daarvan te kunnen afwijken als een one size fits all benadering die niet altijd even goed past bij hun activiteiten,1
De veronderstelling in de FWR kaders dat dit multifunctionele karakter ervoor zorgt dat ook organisaties met een van de basisactiviteitenprofiel afwijkend activiteiten profiel meestal nog goed uit de voeten kunnen met de standaard mix van voorzieningenwerkplekken uit de werkomgeving8 blijkt in de praktijk door gebruikers niet zo te worden ervaren,1
Of bij de gebruikers sprake is van een afwijkend activiteitenprofiel dan dat van toepassing is op R8 zou via een zogenaamd activiteitenonderzoek kunnen worden bepaald,1
Geconcentreerd werken in de open ruimtes kantoortuinen blijkt voor veel bewoners lastig te zijn,1
Zij ervaren hinder als gevolg van omgevingsgeluid en prikkels van vele passanten,1
Hierdoor is de druk op de concentratiewerkplekken de 1 2 en 4persoons kamers groter dan waar in de Basis Werkplekmix vanuit is gegaan,1
Deze plekken zijn op drukke dagen reeds vroeg bezet en de meeste gebruikers zijn niet genegen deze plekken tussentijds te verlaten uit angst geen vergelijkbare plek meer te kunnen vinden indien ze van plek wisselen handdoekjesgedrag,1
Daar komt bij dat een aanzienlijk deel van deze plekken als preferente werkplek is vergeven aan re integrerende medewerkers wat het aantal beschikbare concentratiewerkplekken voor algemeen gebruik nog verder beperkt,1
De toewijzing van preferente werkplekken blijkt niet centraal te worden bijgehouden,1
Ook wordt niet structureel gemonitord of eenmaal toegewezen plekken na verloop van tijd nog steeds geïndiceerd zijn,1
Daarnaast blijkt dat niet alle preferente plekken in alle gevallen medisch geïndiceerd zijn maar enkel om werkinhoudelijke redenen aan bepaalde gebruikers zijn toegewezen door hun leidinggevenden 332 Efficiënt werken Aan de FWRdoelstelling dat medewerkers elkaar snel moeten kunnen vinden en weinig tijd verliezen bij het wisselen van werkplek wordt volgens de gebruikers op R8 niet voldaan,1
Integendeel veel klachten betreffen juist het feit dat collegas elkaar slecht kunnen vinden en dat medewerkers veel tijd kwijt zijn met en fysiek hinder ondervinden van het wisselen van werkplek,1
Dit heeft te maken met de omvang van het pand en de toegenomen loopafstanden die dit met zich mee brengt en met het feit dat men bij elke verplaatsing de laptop en overige bezittingen met zich mee draagt,1
Voor dit laatste wordt niet altijd gebruik gemaakt van de lockers omdat deze zich na een verplaatsing binnen het pand vaak niet in de nabijheid van de nieuwe werkplek bevinden waardoor gebruikers de spullen liever met zich meedragen,1
Ook het telkens moeten afsluiten en opnieuw opstarten van de laptop wordt als tijdrovend en hinderlijk ervaren innoveren en concentreren worden goed gefaciliteerd,1
Ze kunnen elkaar snel vinden en verliezen geennauwelijks tijd bij het wisselen van plekken De veiligheid van vertrouwelijke informatie is gewaarborgd 12 van 51 33 De kantooromgeving wordt door gebruikers als inefficiënt ervaren en biedt volgens hen onvoldoende privacy en concentratiemogelijkheden 331 Concentratiemogelijkheden en preferente werkplekken 8 Factsheet FWR Ministerie van Binnenlandse Zaken Januari 2015 FWRdoelstellingen Medewerkers kunnen efficiënt hun werk doen samenwerken spontaan ontmoeten 333 Vertrouwelijkheid en privacy Het gebrek aan vertrouwelijkheid wordt door de gebruikers als een belangrijk zorgpunt ervaren,1
In het onderzoek zijn voorbeelden genoemd van vertrouwelijke gesprekken en overleggen bijvoorbeeld sollicitatie en Pgesprekken die in de open ruimtes plaatsvinden,1
Gebruikers geven aan dat dit wordt veroorzaakt door dat er op drukke dagen een gebrek aan besloten overlegruimte is en er vaak geen vergaderruimte meer beschikbaar is,1
Ook de halfopen telefoonbollen blijken niet geschikt voor het voeren van een vertrouwelijk telefoongesprek,1
Tenslotte bieden ook de bureauplekken zelf onvoldoende privacy waardoor medegebruikers en passanten makkelijk kunnen meekijken op beeldschermen en stukken voor eenieder zichtbaar op bureaus liggen,1
In het kantoorconcept van R8 klemt dit temeer aangezien er op R8 minder sociale controle is omdat gebruikers elkaar veelal niet kennen en gebruikers van diverse organisaties door elkaar heen zitten,1
Een van de FWRuitgangspunten is dat de samenwerking tussen rijksambtenaren door de huisvesting wordt bevorderd,1
Voor dit onderzoek worden drie soorten samenwerking onderscheiden samenwerking tussen organisaties samenwerking tussen organisatieonderdelen en collegiale samenwerking,1
Gebruikers geven aan dat de drie op R8 gehuisveste organisaties BZ IenW en KK inhoudelijk relatief weinig samenwerkingsrelaties met elkaar onderhouden en vragen zich dan ook af waarom ervoor is gekozen om deze drie organisaties in één kantoor te huisvesten,1
De FWR doelstellingen zouden volgens hen beter gediend zijn geweest bij het samen huisvesten van organisaties die beleids en taakinhoudelijk meer met elkaar overeenkomen 342 Samenwerking tussen organisatieonderdelen Waar het gaat om samenwerking binnen de drie bewonersorganisatie is er volgens gebruikers wel sprake van een verbetering ten opzichte van de oude situatie,1
Dit geldt met name voor de drie onderdelen van de Kleine Keten die voorheen over meerdere locaties in het westen van het land verspreid waren en in mindere mate voor IenW dat op twee locaties in Den Haag gehuisvest was,1
Deze verbetering gaat echter niet op voor BZ,1
Dit departement was voorheen op één locatie gehuisvest terwijl BZ thans over twee locaties is verdeeld aangezien een deel van BZ inmiddels op de nabijgelegen locatie Terminal Zuid is gehuisvest 343 Collegiale samenwerking en teamwork De kantooromgeving op R8 biedt volgens de gebruikers onvoldoende mogelijkheden tot intercollegiale samenwerking,1
Er is weliswaar relatief veel ruimte op R8 voor het informeel ontmoeten en overleggen maar voor besloten overleg in teamverband of ad hoc overleg worden voldoende afgesloten overlegruimte gemist,1
Dit heeft ook te maken met het feit dat in de open werkruimtes intercollegiale afstemming en overleg vrijwel onmogelijk is aangezien in deze ruimtes stilte dient te worden betracht en de privacy niet is gewaarborgd,1
Voor teamsessies of collegiaal overleg waarvoor een besloten ruimte nodig is dient deze derhalve vooraf overleg of vergaderruimte te worden gereserveerd,1
Hierdoor vergt het samenwerken op R8 veel inspanningen van gebruikers met betrekking tot het plannen en organiseren van deze samenwerking innoveren en concentreren worden goed gefaciliteerd,1
Ze kunnen elkaar snel vinden en verliezen geennauwelijks tijd bij het wisselen van plekken FWR is uitnodigend voor het leggen van contacten en communicatie tussen ambtenaren 13 van 51 34 De kantooromgeving bevordert volgens gebruikers de samenwerking tussen organisatieonderdelen maar niet de collegiale samenwerking 341 Samenwerking tussen de organisaties FWRuitgangspunten Een rijkskantoor is bedoeld om plaats te bieden aan werk van en samenwerking tussen rijksambtenaren en plek te bieden voor samenkomst met overlegpartners die niet tot de Rijksoverheid behoren,1
FWRdoelstellingen Medewerkers kunnen efficiënt hun werk doen samenwerken spontaan ontmoeten 35 De kantooromgeving wordt door gebruikers als weinig inspirerend ervaren en gebruikers missen een eigen identiteit,1
Voor BZ voldoet R8 niet geheel aan de standaard ten aanzien van representativiteit Het antwoord op de vraag of de kantooromgeving als inspirerend wordt ervaren is voor een belangrijk deel subjectief,1
Hoewel er ook gebruikers zijn die het pand als inspirerend en eigentijds ervaren zijn de meeste gebruikers die we in het kader van ons onderzoek hebben gesproken van mening dat de uitstraling nogal onpersoonlijk zakelijk en kil is,1
Men mist een eigen identiteit van de organisatie ook al wist men niet altijd goed aan te geven wat deze identiteit precies inhoudt,1
Pogingen om meer eigenheid en herkenbaarheid te geven aan de hen toegewezen werkgebieden zijn in de periode vlak na de verhuizing verijdeld al bemerkt men daarin sinds kort wel enige versoepeling,1
